patient_id,first_name,last_name,date_of_birth,age,gender,address,city,state,zip_code,phone,email,ssn_hash,registration_date,is_deceased,date_of_death,chronic_conditions,is_phantom
PAT000000,Holly,Campbell,1940-08-05,85,F,5278 Mcdonald Trafficway,Liville,GA,35652,875.740.7576x5375,ethompson@example.com,78fed1ba2278775b93461fd6800d13262cc791bd3084233d99099c0a5ba48aa1,2021-09-02,False,,"['hypertension', 'diabetes']",False
PAT000001,Dalton,Gay,1985-07-06,40,M,5278 Mcdonald Trafficway,Liville,GA,35652,001-993-544-1991x2834,schmidtnatalie@example.org,549c987cf199d9436a1ee725409d9f94a890929ef16207dd951c19ff3adbf24d,2024-11-22,False,,[],False
PAT000002,Brittney,Peterson,1948-02-01,77,Other,903 Sutton Plaza Suite 043,Lisafort,CA,22461,288-493-8955x557,ericgrant@example.com,c1ff74b66eed0e5206682635d4032721bbb7aebca03c1377e7546fe64071328a,2022-10-02,False,,['diabetes'],False
PAT000003,Randy,Blackburn,2005-12-05,20,M,563 Brandon Wells Apt. 896,Robertborough,ID,68192,+1-737-492-6168x1256,jessicaluna@example.org,e1b862c39a92d82be412dfe09ade295dbe7352ecf7735db5a710b1a1debfa18b,2022-05-24,True,2024-08-07,[],False
PAT000004,Anita,Smith,2000-06-27,25,F,24108 Ford Tunnel,Zacharybury,PA,05916,8573396937,fischerdaniel@example.org,7fb3105c5977dd39ea36d0c066c79fdd3f255c187a342b67168c87ffeaa563f4,2023-07-09,False,,[],False
PAT000005,Amanda,Avery,2010-09-03,15,F,0922 Riley Lodge,East Meganside,NM,54862,+1-828-611-8801x9886,blane@example.net,340e1659824ebb170ee6d6260c88e0c9e77584fa11e36bdeed5bd149818a107b,2023-09-15,False,,[],False
PAT000006,Virginia,Stanley,1936-04-18,89,Other,5901 Smith Burgs,North Rogerport,NM,70979,+1-972-920-2798x441,cwilson@example.com,0df6e8166042465704c377580bf54eabf6b0be477070ebeeaa7d421b0b2ad180,2023-07-09,False,,['diabetes'],False
PAT000007,Gail,Stanley,1988-05-01,37,F,5556 White Green,East Roy,WV,93798,001-718-740-4647x0631,xbeck@example.org,5824d149eb723c432acb9be2a2feeed3e1141e987e7af4d49cdc2be7e40cead2,2021-09-04,False,,[],False
PAT000008,Susan,Burke,1971-06-29,54,F,3219 Wong Villages Apt. 106,Mcguiremouth,GU,58033,001-708-963-2598x8696,vrollins@example.com,5a04d1166c4b7b0201ea00a2ede4921157f415647af0a421d40864b52efbcf3a,2023-08-10,False,,[],False
PAT000009,Melanie,Davis,2025-03-19,0,F,9724 Lee Gateway Apt. 973,East Elizabethmouth,HI,29866,525-677-1652x778,jonathan53@example.org,a98260fcbcbd416328a836e6da30db3fd6e4ad1d17d3e44f3e1a82bda2d083f4,2021-08-15,False,,[],False
PAT000010,Samantha,Miller,1950-12-10,75,Other,65911 Aguilar Vista,Melissaland,VI,78638,+1-608-520-3965x371,ann08@example.com,8e9bc3f4ca0f3b49cad38084a7dc4ba9515c51e05f0e1d9a2aae8141c66557af,2025-01-28,False,,['heart_disease'],False
PAT000011,Heather,Sheppard,2020-06-10,5,F,938 Lisa Streets,Suzanneberg,VI,79675,3554078957,ana44@example.org,18fdc3b7d92d4feb48d576f1db7d41eeef072f2f21f85455948846c209a7c7d8,2021-09-24,False,,[],False
PAT000012,Dennis,Edwards,1982-09-20,43,M,765 Green Crossing,Willieport,KY,23759,+1-621-746-6632,mlewis@example.net,c14bc3c826b8af56e6332a6d3776d81d2632fc39d91bb450ece60d556e07bcbb,2022-11-09,False,,[],False
PAT000013,Shawn,Rice,2016-10-31,9,M,2546 Tonya Trail Suite 369,East Dawn,VT,09199,(747)208-7967x838,wandabryant@example.net,086da8749a1aa35759d3938344ab3e359d2c07bfaea6309c6559440cc7b65cd8,2021-02-18,False,,[],False
PAT000014,Jessica,Jacobs,2023-05-23,2,Other,738 Cochran Crossroad,Brianchester,WY,87599,+1-708-333-2197x5848,leonard77@example.org,6563ff959d2a5edc3d2d7756208151aa20c9273f97c4c7f708f1bdab40c6538d,2022-02-12,False,,[],False
PAT000015,Vicki,Simpson,1950-09-02,75,F,3123 Ronald Knolls,Toddmouth,PR,77973,357-978-0290x004,pamela00@example.com,1da959c07db76d93373486c913068ebf977f4ea16084319a5747e590f8450bcd,2022-07-07,False,,"['diabetes', 'heart_disease']",False
PAT000016,Barbara,Mclaughlin,1937-10-29,88,Other,3084 Tonya Trace Suite 192,Crossfurt,NH,99334,254.276.8548,pattywatson@example.com,f0a4ae468076422bc8dc9545cbaaa3078a417efc8d0f9974dba14815a61ca739,2021-07-22,False,,[],False
PAT000017,Scott,Dominguez,1942-09-08,83,M,244 Amanda Camp Apt. 834,Robinsonhaven,UT,80284,(403)746-2380x13546,sullivanjuan@example.net,6e7c8856340c81a7004b36f0b6af525f9b78234bab78625fe61e6dadbabae5d5,2020-12-20,False,,"['diabetes', 'heart_disease']",False
PAT000018,Debra,Middleton,2007-05-18,18,F,3903 Clark Heights Suite 499,East Bradville,WI,20914,573-980-6383,wsmith@example.net,1516d8cfaa89e98c3cc3ed27de4781901b518ac26e4b505991e15eba56c105ea,2021-05-27,False,,[],False
PAT000019,Alyssa,Morris,1935-11-27,90,Other,56548 John Coves Suite 630,Bradfort,KS,53677,+1-669-620-9146x1328,fullerangela@example.org,e7a698247774aab4a4e5ad2f070465b1ce79a79af070e4d4eda029397cbcfcf9,2025-10-14,False,,['hypertension'],False
PAT000020,Carla,Miller,1971-08-18,54,Other,5871 Sandra Circles Suite 491,Anthonyhaven,FL,91420,283.446.8619x6946,christina05@example.org,c036fddcbaf0d24d4249cb7ea9ebd2eb41ae6f554625bb0cf51fbf00b64414a6,2025-05-15,False,,[],False
PAT000021,Christina,Hall,1950-06-25,75,Other,3432 Harris Station,Olsonside,DE,96604,(985)456-7586x8350,,a8dae889e5ae8d24d99686bf1ff3fc54376433507b913ac5e2188aedbfd21a72,2024-12-29,False,,['diabetes'],True
PAT000022,Amber,Chambers,1956-08-14,69,Other,83142 James Track Suite 717,Morrisfurt,NM,79439,001-724-784-7992x9463,richardsonderrick@example.net,507b449ee643ed6809db6222d1a058f5c0dff2c5e86c0e9b34b85e209cb367ca,2022-12-06,False,,"['hypertension', 'heart_disease']",False
PAT000023,William,Holmes,1961-09-06,64,M,2774 Lopez Island,Victorialand,KS,01082,+1-503-640-7452x893,nrussell@example.com,d39f695a42fd307e1f00fdcaafe10d0a84c07376e0e3cdda4ebf3a99ab33dab2,2023-01-24,False,,['diabetes'],False
PAT000024,Michelle,Arias,2013-04-20,12,F,5928 Kenneth Overpass,West Paula,FM,34395,(745)287-9081,tyler47@example.org,1bbae076ad1750db8fbed99d46c969ab25e925d3287d12b62ededb518bf0d211,2025-09-07,False,,[],False
PAT000025,Daniel,Garcia,2011-11-24,14,M,83142 James Track Suite 717,Morrisfurt,NM,79439,835.418.2279x521,tyler48@example.com,50d525f098b66f7f97fcf21ec84c97bedaffc766ff732d29e196cbb68cddd441,2025-01-26,False,,[],False
PAT000026,Pamela,Rivera,1957-06-23,68,Other,972 Walker Flats Suite 014,New Jonathonmouth,VA,08744,375.585.3143x25716,williegarcia@example.com,d7e6ab543f02fcf0bbb59107cc9d45ee21c6cffe5a9e92099ea75852a30ed96a,2024-05-15,False,,['hypertension'],False
PAT000027,Krystal,Villa,1979-07-19,46,F,135 Riggs Center,Ambermouth,MA,84900,250-683-3437x423,robertbennett@example.org,f2104f172d3da481762193c2e7a51ffa89c09d4c3f8a0ab9905286e48d47c1af,2022-05-25,False,,[],False
PAT000028,Melissa,Fernandez,2013-11-10,12,F,47154 Matthew Shoal Suite 258,Lake Taylorfort,WA,51873,+1-852-263-7407x24026,monicabenitez@example.org,4529da336a9777cb4c499f6bda310140f1136dd63a21791a85c15783c332f7aa,2021-06-03,False,,[],False
PAT000029,Angela,Gross,1979-02-28,46,Other,14592 Ayala Street Suite 279,Chadbury,MT,97673,397-552-1148x52029,brentramsey@example.org,d8be6e96c58e60d0a3b9addaba77990edb6c634748148df3fc0ffa6b967069ce,2021-04-10,False,,['diabetes'],False
PAT000030,Carol,Munoz,1980-08-19,45,Other,3509 Jennifer Island Suite 896,East Lawrence,IL,88151,001-318-216-7099,walterslori@example.org,7d2485f3b5ce24c1f31409808b6f9feaef2b7459b88424fea6dcd246d48d7d08,2025-10-17,False,,[],False
PAT000031,Justin,Clay,2021-10-08,4,M,9612 Eric Causeway Suite 614,Richardshire,IA,62396,393-703-9596x490,conleypaige@example.org,40758298aab7592227a79665c2a86012146e528b547878dc4c751c3d61f176a9,2022-02-10,False,,[],False
PAT000032,Judy,Parrish,2009-02-19,16,Other,1683 Wolfe Crest Suite 579,South Crystal,NJ,42908,551.537.3564,bryanmarc@example.org,4b26ca22afd96f9af4912cdda67ffff02e1316265b6823776e6574004c3ef388,2024-11-25,False,,[],False
PAT000033,Amanda,Adams,1964-03-24,61,Other,98615 Johnson Green,Carlsonstad,CA,07293,645-752-7849,andrewchaney@example.com,0ab3f6fa6f766a5a7bc75ab754c6165d188b9c5ffbb20bf93b0ebb640e4c4b73,2025-07-09,False,,[],False
PAT000034,Susan,Harris,1990-02-02,35,Other,996 Bryce Burg Apt. 226,North Traceyside,FM,03779,+1-923-539-8911x33609,mayoraymond@example.net,3a406383099c2768207eb1114db95fadf10f789cd5c881ae607e76cf94a58d0a,2023-09-11,False,,[],False
PAT000035,Katrina,Simmons,1996-06-22,29,Other,6168 Stephanie Neck,Smithland,SD,03357,904.907.9374,xpatel@example.com,20d59dd0001e0c42d680a7c4039af2f22d8f7ea9ccfc99e837d35a1e5f71175f,2023-08-08,False,,[],False
PAT000036,Mark,Burns,1975-09-29,50,M,2452 Gomez Glen Apt. 797,New Hannahmouth,NH,41681,279.487.3950x827,david34@example.org,7cdd992c6dcfc1328e8b49f54a510e41501a33748bfa516369c64c2eba71e772,2023-07-02,False,,['hypertension'],False
PAT000037,Robert,Brown,1965-09-25,60,M,5795 Villarreal Keys,Lesliefurt,SD,02550,3465888515,breanna47@example.net,60fe212cfc623975b42ce22d821451a44b764f54c2fa27e0964da724e2771901,2023-11-28,False,,['hypertension'],False
PAT000038,Rita,Randolph,1974-06-06,51,Other,0349 French Estate,Walshfurt,MA,35843,604-436-4845,crystal48@example.net,e8badbd69dcdb15c0791c8fe0858b6edb9ac7547016e7503e884527458bd3007,2022-01-22,False,,[],False
PAT000039,Richard,Atkinson,2017-06-12,8,M,380 Johnson Mountain Apt. 242,South Danielshire,NC,75209,(604)351-7856,kevinhayes@example.net,e84ad4338908ddfe9affc9ab9416dbcdc6a4909985a1496a02bf2e62fec09f68,2024-01-03,False,,[],False
PAT000040,Mitchell,Ruiz,1990-05-31,35,M,289 Alejandra Loop Suite 289,West Kenneth,VA,76524,001-811-368-4793x9797,bhughes@example.com,17da7c3b78bc6de6a3296e8a2bae0f495107fbc739eb529e6c4ceb556f5e5a86,2021-04-12,False,,['asthma'],False
PAT000041,Terri,Lucas,2009-10-25,16,F,47055 Rachel Hollow Apt. 211,Brownside,GU,43261,505-339-5435,aescobar@example.net,b8fde961a7e421d11f89333bbde5a56940f29478dcd8120b7ebb9909d8aacf2c,2022-11-13,False,,[],False
PAT000042,Jacqueline,Pham,1974-12-14,51,Other,932 Blevins Shoal Apt. 941,North Jerry,GA,91122,(436)743-8263x68731,susan16@example.com,f1987b012c157023f6015c4293edc2ff1ee50c624a72c7a9f0053f6ea9d031d3,2024-12-10,False,,[],False
PAT000043,Isabel,Adkins,2013-08-26,12,Other,4169 Jessica Loop Apt. 683,New Makaylamouth,AZ,93516,+1-733-568-2774x7158,obird@example.net,7e0c8151bcae0494b3c14df1d81bdf93367b44618a3b6fd322910475dc819422,2024-01-04,False,,[],False
PAT000044,Monique,Deleon,1996-08-07,29,Other,0863 Johnston Flat Suite 536,Lake Harold,ID,97508,001-387-537-5536x78185,pholmes@example.net,7099f7ea2d25badf547f9150ebad46890919168b3d8ab00289e0ab4c9ba16b57,2021-08-16,False,,[],False
PAT000045,Connie,Monroe,1952-03-30,73,Other,5795 Villarreal Keys,Lesliefurt,SD,02550,(911)248-8093x74360,kwalker@example.org,0a16b43d2280c0336ce0e8d16e9f226a0f78ada85c8a6db8c8fc24e61546a3ee,2022-03-15,False,,"['hypertension', 'diabetes']",False
PAT000046,Melody,Rivera,1966-05-21,59,Other,50444 Williams Camp,New Alexander,NV,13371,239.216.9524x4557,icarey@example.org,ea0a1de8b2dfc794694e3c6fefcbcd745ffd1657ac4c8d0037054313b61604b8,2023-04-01,False,,[],False
PAT000047,Danielle,Hudson,1977-07-09,48,Other,310 Ronald Keys Apt. 379,Justintown,UT,00758,5769814598,william91@example.org,e0c898c9f9a9562dcf4a704352560f99402cc4cbf7e56e4e5d9afe7f5a1e61b8,2024-11-09,False,,[],False
PAT000048,Michael,Hernandez,2020-10-07,5,M,624 Kristin Causeway Suite 029,Morganhaven,GU,07405,+1-825-740-1059x197,janderson@example.com,d2d55b6470c58e65518a8f0a7a838800b98e438792a316b97447ce77a932eb37,2023-03-26,False,,[],False
PAT000049,Stephen,Martinez,1973-08-12,52,M,624 Kristin Causeway Suite 029,Morganhaven,GU,07405,(571)370-6648,mhoward@example.net,9427e677eeedc3f24ffd023a38a71299646eeac2de1b627a0db063343f56ce40,2024-09-13,False,,[],False
PAT000050,Monique,Dillon,1941-10-16,84,F,841 Scott Falls Apt. 124,East Jeffrey,CT,03614,001-452-985-4380x45663,jessica20@example.com,9edbbe5c90f30ae933da766059aec46e595051887494761c5a4b083b9410e724,2022-07-02,False,,"['hypertension', 'diabetes']",False
PAT000051,Kayla,Jackson,2023-02-04,2,Other,65809 Perkins Islands,Port Marychester,VA,54968,+1-532-627-5745,schmidtjeffrey@example.net,13d3a44d9aa8bfcbced554f6c8e7100e7cc864f6047b6344e88b81bac7a93161,2021-08-12,False,,[],False
PAT000052,Heather,Rice,2003-10-18,22,Other,8949 Paul Street,Tinaton,ND,86736,559.559.3710,robinjimenez@example.org,9485d17313d34e94c6c0e0623047c04a7e6fd9198fad9f521241734dcb471134,2024-08-31,False,,[],False
PAT000053,Amanda,Powell,1958-12-16,67,Other,2044 Patterson Center,East Eugeneland,AZ,18233,(873)991-0773x77734,clarkjennifer@example.com,115f7e296e92cec07ac556afad31cf9f8c127bd1e42bd2153eaf9de2e7efc52e,2021-11-05,False,,['diabetes'],False
PAT000054,Monique,Stone,1972-05-12,53,F,99199 Robinson Landing,Cassandraland,MH,98350,(327)393-7991,brittany31@example.net,8b96d778392e93753ee52ddc925f269355d1c5b1f181d9fbeda55deacadfdfd9,2024-01-26,False,,[],False
PAT000055,Ann,Lewis,2016-05-12,9,F,82747 Lisa Trace Suite 863,West Amberside,CA,44589,3614760855,rebecca39@example.com,fd782e1df4d4ae3af962dc6f112f8419f95c1ef702840b5321a0d12969a6d521,2025-02-27,False,,[],False
PAT000056,Lauren,Coffey,1988-06-25,37,Other,5560 Daniel Light Suite 277,Hinesside,MN,54123,5023470142,patricia96@example.org,0b24ca52587a1404c1f106430f8de8a51518d58180a1c287915fa8afc0fa9b39,2023-12-15,False,,[],False
PAT000057,Kimberly,Collins,2019-10-28,6,Other,43758 French Extensions Apt. 744,Janetbury,NC,80435,(584)894-4170,,b097a8727bc8d70259268b94ec877a23951ddaf5889a8d4b810de6e845b965ba,2022-03-28,False,,[],True
PAT000058,Tina,Lewis,1955-11-11,70,Other,56868 Ashley Lake,Rebeccabury,FM,72295,233.886.3540,oscarperry@example.com,ea77465cb751d480231329274dff6c35a70d54cebe897bb23a8b023f500e3a03,2025-07-20,False,,"['hypertension', 'diabetes']",False
PAT000059,Carolyn,Washington,1986-08-01,39,F,0376 Morris Gateway Suite 311,Cohenside,NM,20787,+1-360-436-5987x216,holmesjulia@example.org,f9a24bd0f73fc90f69d5d521aa4d759255daa186c97cae774c5282b9fef8a070,2023-06-15,False,,[],False
PAT000060,Jeffery,Woods,2019-09-08,6,M,7849 Jonathan Glen,Coreyhaven,OH,43153,+1-776-340-1670x267,pattersonbriana@example.net,998537c690c4c56772099e016cb24cc98c3d11cdb5f54ae0b41a53c5b32c8f0f,2022-01-19,False,,[],False
PAT000061,David,Mccormick,1986-03-25,39,M,093 Susan Mission,Lake Ricky,TX,23490,683-572-2008x305,chavezdavid@example.net,d94c58b7f8190ecb845c91b17fb7a71e4d056aa16f18fba9c59e56c4f8d7a75a,2024-10-20,False,,[],False
PAT000062,Kayla,Johnson,1948-12-29,76,Other,98312 Lowery Branch Suite 897,West Brianhaven,FM,86402,305-800-1421x4488,wesleyandrews@example.com,7a9c5921b4fd0a1ded89fb36d1d3b4279659df7e2bae235208109760ab43ee73,2022-09-22,False,,[],False
PAT000063,Ryan,Carroll,1955-04-27,70,M,76537 May Fords Apt. 193,Brittanyhaven,PR,82189,227-853-9865,ralphmarshall@example.org,d46ea96dd3e5a687dc85c83af58d27eb2c81fd0c0d5a072212e9b79293156bcf,2022-11-02,False,,[],False
PAT000064,Stephen,Woods,1970-06-29,55,M,58638 Obrien Walk Suite 994,Lake Krista,KY,37454,662-511-5609,ahenry@example.org,9993e6671079e71c36f1279622e246d1967eb8ebb2c4eef2a2de87e19d978247,2025-03-10,False,,['diabetes'],False
PAT000065,Benjamin,Williams,1974-07-08,51,M,368 Richards Center,East Julia,KS,97707,724.637.1432x0475,mking@example.org,cdbc54d527e47ed8867cebc343203ef28456327774363920f2aec3ca954e0a2a,2025-04-11,False,,[],False
PAT000066,Craig,Martinez,1952-03-04,73,M,0376 Morris Gateway Suite 311,Cohenside,NM,20787,321.370.7012,marycooper@example.com,381a475685e4bd385ee954f7d52a281b4b2c81cf92b1b002c64475f8aff4fa5c,2022-01-16,False,,"['hypertension', 'diabetes', 'heart_disease']",False
PAT000067,Elizabeth,Thompson,2013-08-02,12,Other,72780 Robert Extension Suite 601,West Elizabeth,AZ,32851,682.995.0820,gkoch@example.net,8223850ed6d08bde6137b1f961e080e31bec71d5cbc129d6c086be59fe016ba3,2022-06-05,False,,[],False
PAT000068,Patrick,Gilbert,1949-07-07,76,M,36432 Collins Terrace Apt. 098,North Matthew,WY,94285,(605)520-5490x0805,edwardsmadison@example.net,6a4b66629884e8ff98d4f22e99a2f9d314d31a3fd612d2a24f91d4c073dbe73d,2021-06-07,False,,['diabetes'],False
PAT000069,Tiffany,Meadows,1998-10-05,27,F,706 Cooper Manors Suite 139,Port Amberchester,IA,81730,647.253.3346x33048,alan19@example.org,f34e989c57b5bfd09bb2f5b83c72ddb456e2a7b20b5156063da42f72368dd24c,2025-04-28,False,,[],False
PAT000070,Joel,Ford,2010-05-28,15,M,88732 Matthew Isle,Lake Edward,NH,39815,001-622-220-8040x383,donna54@example.org,efea4978adef9528f6fff17cfd8c1dc5296e3816a519c63eb5292be0bef954c9,2024-06-06,False,,[],False
PAT000071,Courtney,Wright,2015-10-22,10,Other,705 Curtis Drives Suite 318,New Donnaville,MH,42735,001-799-562-0254,coletimothy@example.com,1bbaa3808ffb41956d862d628304ea596b8b7ecb6cdf05ca61af2f1657b4e814,2024-09-15,False,,[],False
PAT000072,Angela,Bryant,1945-10-07,80,Other,05521 Calderon Groves,Harriston,MA,32282,467.690.5075,meghanmeyer@example.net,6ee44d12e520ea073d4cb14fa46fef6db48b2c00a0e8f7e8800c82ac154827b2,2022-01-02,False,,[],False
PAT000073,Rebecca,Mcmillan,1993-08-10,32,F,8652 Eric Fork,Port Christopherview,NE,34174,001-481-681-9643,justin24@example.net,d241c174c1e647e8e96c587b2a8c904252db34f7e738369dd7e48b5fdbd270a6,2025-01-25,False,,[],False
PAT000074,Kathy,Johnson,1950-10-10,75,Other,91825 Susan Falls,New Laura,MI,36255,719.461.9925x966,steven26@example.net,31fb18bb5ac93e40c1e594cb27ff3cc46c901cf61890b381c9fa49e0c785a6c2,2023-02-14,False,,[],False
PAT000075,Maria,Miller,1990-01-06,35,F,0723 Beck Neck Suite 614,New Lisaport,WY,08766,913-501-5363x89695,ericksonbrenda@example.net,4d7917b62c6be109046f566cfd432ec38b4d63e78af78742253da7312f009c04,2022-02-06,False,,[],False
PAT000076,Laura,Garza,1945-06-26,80,Other,3449 Boyd Center,Charlotteview,PR,87047,336.448.5197x6075,rowesharon@example.com,93f2b45f09e6cf5f886040b0ec3a755662f06db0cb92ead1f929d9d71276da8d,2021-05-20,False,,"['hypertension', 'diabetes']",False
PAT000077,Elizabeth,Martin,2011-12-02,14,F,7863 Bates Trail,Clarkborough,NC,10383,764-380-7367x3169,kimberlychambers@example.net,a08ae95035ede3dcf28fbe481067b508b97cf60a0f18fa1a76381e7d4603e782,2021-05-24,False,,[],False
PAT000078,Morgan,Howe,1997-08-26,28,Other,327 Holden Well Apt. 320,Hernandezshire,AK,11642,(520)762-5454x4779,garyevans@example.net,6b16756e6464b5d35371c03d092fe61acc536cb9abf18c60c14d350db710ae48,2022-11-12,False,,[],False
PAT000079,Ashley,Ortega,1983-11-09,42,F,05521 Calderon Groves,Harriston,MA,32282,208-853-3208x6733,flewis@example.com,5a583be44a307efaca08f3aa974ef99755643216a8a70d8d387c96e45f85fedb,2022-09-23,False,,[],False
PAT000080,Patrick,Cooper,1938-07-08,87,M,7863 Bates Trail,Clarkborough,NC,10383,001-380-501-1113x4138,joshua85@example.org,6e5984401e1f789370587e16a64fc5fd4bed553ff754e40192fdf5e1ac2ab36f,2022-06-04,False,,[],False
PAT000081,April,Torres,1998-05-16,27,Other,32614 Blackwell Divide,Emilyport,LA,66458,352.990.9371x8346,cscott@example.org,7de068ac240fb0934a8ac945a09792220d824c854bf32ad258cca7a37c555954,2025-02-13,False,,[],False
PAT000082,Alexander,Salas,1988-01-02,37,M,0945 Garza Keys,Tylershire,KS,20556,(822)549-8757x111,mackalan@example.net,f7e3275da1185e8736319bc47de2e85843331aba3c6f269f9cd46c86908b9ccd,2021-10-17,False,,[],False
PAT000083,Robert,Simmons,1958-05-07,67,M,65257 Eric Center,Katieshire,FM,38901,888.705.8092,abrown@example.org,8de5742d572661bea91f4b0421aa50c42d91549911127a450acb9034bbec29a6,2021-01-06,False,,['heart_disease'],False
PAT000084,Andrea,Morales,2017-11-05,8,F,180 Taylor Mews Apt. 031,Salazarborough,AR,34899,001-716-865-8325x676,xnichols@example.net,5b074cd37f9110e506322a6ca1b5e2778bbc800b369f2e5296fd4b4d6ef9d8d7,2025-05-16,False,,[],False
PAT000085,Regina,Ferguson,1973-11-03,52,Other,02733 Baker Square,East Lawrence,AL,34429,500-427-3855x20755,jessica53@example.org,f89b1323b64dfa9eda0ff7c7ab6286749d8c8ea835c72bc1080fd7a3092c2c7b,2023-01-13,False,,[],False
PAT000086,Mary,Adams,2024-07-21,1,Other,94644 Peterson Harbor Apt. 916,Carterhaven,IL,38726,288.882.7991x0813,gpena@example.com,3a72446d177f61e6adef690cadd204b521b78dc1af8e6c8b40e2546a11c8908b,2023-03-06,False,,[],False
