provider_id,provider_name,provider_type,specialty,address,city,state,zip_code,phone,license_number,license_state,years_in_practice,is_in_network,fraud_history,is_phantom
9022784699,Dr. Corey Griffith,Physician - Specialist,Family Medicine,2384 Henderson Mission,West Jessicamouth,MA,57162,928-337-6596x1032,PA335494,IA,28,True,False,False
9098624058,Lowe Inc Laboratory,Laboratory,,398 Grant Loaf,North Laura,HI,30296,(402)393-2427x916,MD085140,WI,16,True,False,False
6666832723,Rodriguezmouth Health Center,Clinic - Urgent Care,,276 Woodard Avenue Suite 220,Bethhaven,MT,65622,(914)758-3526x99077,NP624220,UT,5,True,False,False
6212679692,Nelsonshire Veterans Hospital,Hospital - General Acute Care,,50256 Reid Heights Apt. 510,Chavezton,NY,50390,489.759.2659,PA876532,RI,28,True,False,False
8468950097,Dr. John Hanson,Physician - Primary Care,Physical Therapy,164 Scott Walks,Port Travis,IA,29203,001-572-898-0645,NP197128,TN,18,True,False,False
3718949058,Dr. Russell James,Physician - Primary Care,Cardiology,89022 Colleen Freeway,Copelandville,WI,09928,(841)933-0070x028,MD778795,RI,27,True,False,False
9494079290,Dr. Ryan Alvarez,Physician - Primary Care,Radiology,7678 Richard Coves,Port Chris,NM,51619,(647)229-2062,NP904712,MI,33,True,False,False
9444019292,New Jennifer Wellness Clinic,Clinic - Outpatient,,1281 Brown Village Suite 012,Batesview,PW,26860,+1-607-935-3436x971,NP243728,RI,3,True,False,False
2766372395,Simpsonton General Hospital,Hospital - General Acute Care,,853 Mary Groves Suite 732,North Sarahchester,GU,23332,001-933-950-4979,NP102767,PW,20,True,False,False
3667428604,New Ashley Wellness Clinic,Clinic - Urgent Care,,96605 Robert Keys,North Brittney,NH,75896,621-280-3044x800,PA580185,SD,28,True,False,False
1496739385,Dr. James Reyes,Physician - Primary Care,Radiology,57917 Joshua Ferry,Ashleyville,KY,10176,9477245335,DO580010,PW,27,True,False,False
3443009109,"Murphy, Saunders and Diaz Laboratory",Laboratory,,65229 Victoria Street,North Marvinland,PA,63228,763.658.6749,DO911192,SD,25,True,False,False
2124471746,Martinchester Medical Group,Clinic - Urgent Care,,5698 Juarez Stravenue Apt. 795,New Summer,NY,31326,830-990-7201x17058,NP214066,NH,22,False,False,False
7173962712,Dr. Alison Smith,Physician - Primary Care,Radiology,763 Dean Well Apt. 827,Ericksonland,ND,83575,(615)588-0704,PA391741,AL,3,True,False,False
7200642569,Dr. Ryan Jones,Physician - Primary Care,Radiology,5375 Sara Summit Suite 492,Lake Jesseshire,RI,93333,(720)723-4278x26191,MD877661,PA,35,True,False,False
7198554601,Dr. Chelsea Kramer,Physician - Primary Care,Oncology,6424 Larson Dam Suite 072,East Fredhaven,CO,47767,3585002741,NP851743,PR,12,True,False,False
